canonical,master_cell,cluster_presence,avg_instances
0b1110111111111111,NOR2_X1,0.920775,0.920775
0b1110111111111111,NAND3_X1,0.673415,0.673415
0b1110111111111111,NAND3_X2,0.281690,0.281690
0b1110111111111111,INV_X1,0.069542,0.098592
0b1110111111111111,OR2_X1,0.076585,0.115317
0b1110111111111111,NAND2_X1,0.044894,0.047535
0b1110111111111111,AND2_X1,0.006162,0.006162
0b1110111111111111,INV_X2,0.007042,0.007042
0b0000000000000010,NAND3_X2,0.083538,0.083538
0b0000000000000010,NOR2_X1,0.992629,0.992629
0b0000000000000010,INV_X1,0.025799,0.031941
0b0000000000000010,NAND2_X1,0.079853,0.095823
0b0000000000000010,NAND3_X1,0.835381,0.835381
0b0000000000000010,AND2_X1,0.071253,0.072482
0b0000000000000010,INV_X4,0.003686,0.003686
0b0000000000000010,INV_X2,0.002457,0.002457
0b0000000000000010,OR2_X1,0.001229,0.001229
0b11101111,INV_X1,0.736264,0.736264
0b11101111,NAND3_X1,0.516484,0.516484
0b11101111,NAND3_X2,0.258242,0.258242
0b11101111,INV_X2,0.043956,0.043956
0b11101111,AND2_X1,0.003663,0.003663
0b11101111,NAND2_X1,0.225275,0.225275
0b11101111,OR2_X1,0.219780,0.219780
0b11101111,NOR2_X1,0.001832,0.001832
0b00000010,INV_X1,0.118072,0.134940
0b00000010,NOR2_X1,0.937349,0.937349
0b00000010,AND2_X1,0.077108,0.091566
0b00000010,NAND2_X1,0.881928,0.881928
0b00000010,NAND3_X1,0.021687,0.021687
0b00000010,INV_X2,0.021687,0.024096
0b00000010,NAND3_X2,0.019277,0.019277
0b00000010,INV_X4,0.007229,0.007229
0b00000010,OR2_X1,0.007229,0.007229
0b1110101011000000,3input0x2C_X1,1.000000,1.000000
0b1110101011000000,NOR2_X1,1.000000,1.000000
0b1111111111111110,AND2_X1,0.988571,0.994286
0b1111111111111110,NAND3_X1,0.628571,0.628571
0b1111111111111110,NAND3_X2,0.362857,0.362857
0b1111111111111110,NAND2_X1,0.017143,0.020000
0b1111111111111110,INV_X1,0.014286,0.014286
0b1111111111111110,OR2_X1,0.002857,0.002857
0b1111111011111111,INV_X1,0.451923,0.451923
0b1111111011111111,AND2_X1,0.128205,0.128205
0b1111111011111111,NAND3_X1,0.689103,0.689103
0b1111111011111111,NAND3_X2,0.230769,0.230769
0b1111111011111111,OR2_X1,0.445513,0.445513
0b1111111011111111,INV_X2,0.022436,0.022436
0b1111111011111111,NAND2_X1,0.080128,0.160256
0b1111111011111111,NOR2_X1,0.426282,0.426282
0b01101001,XNOR2_X1,1.000000,2.000000
0b00000001,INV_X4,0.051383,0.051383
0b00000001,NAND3_X2,0.114625,0.114625
0b00000001,AND2_X1,0.403162,0.806324
0b00000001,NAND3_X1,0.466403,0.466403
0b00000001,INV_X2,0.134387,0.134387
0b00000001,INV_X1,0.407115,0.407115
0b00000001,NOR2_X1,0.015810,0.015810
0b00000001,NAND2_X1,0.015810,0.015810
0b00000001,INV_X8,0.003953,0.003953
0b0010,INV_X1,0.950413,0.950413
0b0010,AND2_X1,0.165289,0.165289
0b0010,NOR2_X1,0.830579,0.830579
0b0010,INV_X2,0.049587,0.049587
0b0010,NAND2_X1,0.004132,0.004132
0b0010,INV_X4,0.004132,0.004132
0b1011111111111111,OR2_X1,0.137500,0.137500
0b1011111111111111,NOR2_X1,0.983333,0.983333
0b1011111111111111,NAND2_X1,0.120833,0.120833
0b1011111111111111,INV_X1,0.816667,0.837500
0b1011111111111111,NAND3_X1,0.537500,0.537500
