canonical_A,canonical_B,overlap_ratio
0b1110111111111111,0b0000000000001000,0.125880
0b1110111111111111,0b00101010,0.005282
0b1110111111111111,0b00000001,0.076585
0b1110111111111111,0b0000000000000010,0.382923
0b1110111111111111,0b1111111011111111,0.167254
0b1110111111111111,0b0010,0.107394
0b1110111111111111,0b1011111111111111,0.162852
0b1110111111111111,0b11101111,0.249120
0b1110111111111111,0b10101000,0.006162
0b1110111111111111,0b1111111111111110,0.126761
0b1110111111111111,0b0000000000000001,0.053697
0b1110111111111111,0b0000000010000000,0.025528
0b1110111111111111,0b1000101010101010,0.035211
0b1110111111111111,0b1000000000000000,0.015845
0b1110111111111111,0b10111111,0.043134
0b1110111111111111,0b00001000,0.051937
0b1110111111111111,0b00000010,0.133803
0b1110111111111111,0b0000001010101010,0.007923
0b1110111111111111,0b10000000,0.058099
0b1110111111111111,0b1011,0.036092
0b1110111111111111,0b01111111,0.047535
0b1110111111111111,0b1000000011111111,0.020246
0b1110111111111111,0b1000000010101010,0.009683
0b1110111111111111,0b1010100010001000,0.009683
0b1110111111111111,0b11111110,0.004401
0b1110111111111111,0b1111111011101110,0.003521
0b1110111111111111,0b1010101111111111,0.001761
0b1110111111111111,0b0010101010101010,0.012324
0b1110111111111111,0b0000100011111111,0.020246
0b1110111111111111,0b00101111,0.001761
0b1110111111111111,0b00001110,0.002641
0b1110111111111111,0b0000000000001110,0.001761
0b1110111111111111,0b1000,0.000880
0b1110111111111111,0b1110111011101111,0.010563
0b1110111111111111,0b00001011,0.000880
0b1110111111111111,0b0000000010001111,0.003521
0b1110111111111111,0b1010101010101011,0.008803
0b1110111111111111,0b0000000111111110,0.000880
0b1110111111111111,0b0000000111111111,0.005282
0b1110111111111111,0b01101001,0.000880
0b1110111111111111,0b1010101010101000,0.005282
0b1110111111111111,0b0000000010101000,0.006162
0b1110111111111111,0b0001,0.001761
0b1110111111111111,0b0111111111111111,0.011444
0b1110111111111111,0b1010100010101010,0.003521
0b1110111111111111,0b0000100010101010,0.005282
0b1110111111111111,0b0000111011101110,0.000880
0b1110111111111111,0b1010101011101010,0.001761
0b1110111111111111,0b1000100010001010,0.003521
0b1110111111111111,0b0000000010101011,0.000880
0b1110111111111111,0b0000001011111111,0.007923
0b1110111111111111,0b1010101010101110,0.001761
0b1110111111111111,0b0000000011111110,0.000880
0b1110111111111111,0b1110111011100000,0.000880
0b1110111111111111,0b1000100010000000,0.000880
0b1110111111111111,0b10101011,0.000880
0b1110111111111111,0b0010101011111111,0.000880
0b1110111111111111,0b0000100010001000,0.000880
0b1110111111111111,0b0000000000011111,0.001761
0b1110111111111111,0b1010101010101001,0.000880
0b1110111111111111,0b0000101110111011,0.000880
0b1110111111111111,0b1110101011111111,0.000880
0b1110111111111111,0b10001010,0.000880
0b0000000000000010,0b1110111111111111,0.697789
0b0000000000000010,0b1000000000000000,0.030713
0b0000000000000010,0b1010101010101000,0.007371
0b0000000000000010,0b10111111,0.038084
0b0000000000000010,0b00001000,0.078624
0b0000000000000010,0b0000000010000000,0.023342
0b0000000000000010,0b00000010,0.115479
0b0000000000000010,0b1011,0.015971
0b0000000000000010,0b0000000000001000,0.046683
0b0000000000000010,0b11101111,0.051597
0b0000000000000010,0b0001,0.001229
0b0000000000000010,0b1111111111111110,0.055283
0b0000000000000010,0b11111110,0.003686
0b0000000000000010,0b10000000,0.029484
0b0000000000000010,0b0010,0.025799
0b0000000000000010,0b0000000000000001,0.039312
0b0000000000000010,0b1000101010101010,0.017199
0b0000000000000010,0b1010100010101010,0.006143
0b0000000000000010,0b0111111111111111,0.015971
0b0000000000000010,0b00000001,0.027027
0b0000000000000010,0b0000100011111111,0.018428
0b0000000000000010,0b1111111011111111,0.023342
0b0000000000000010,0b0001111111111111,0.001229
0b0000000000000010,0b0000000010101000,0.001229
0b0000000000000010,0b1000,0.001229
0b0000000000000010,0b1010101010101011,0.003686
0b0000000000000010,0b01111111,0.006143
0b0000000000000010,0b1000000010101010,0.001229
0b0000000000000010,0b0000000111111111,0.004914
0b0000000000000010,0b1110111011101111,0.003686
0b0000000000000010,0b1010101011101010,0.004914
0b0000000000000010,0b0010101010101010,0.015971
0b0000000000000010,0b1011111111111111,0.012285
