name,n_inputs,canonical_key
AND2_X1,2,0b0001
AND2_X2,2,0b0001
2input0x1_X1,2,0b0100
XOR2_X1,2,0b0110
OR2_X1,2,0b0111
OR2_X2,2,0b0111
NOR2_X1,2,0b1000
NOR2_X2,2,0b1000
XNOR2_X1,2,0b1001
2input0x6_X1,2,0b1101
NAND2_X1,2,0b1110
NAND2_X2,2,0b1110
AND3_X1,3,0b00000001
AND3_X2,3,0b00000001
3input0x1_X1,3,0b00010000
3input0x2_X1,3,0b00010100
3input0x2_X1_DH_N,3,0b00010100
3input0x3_X1,3,0b00010101
3input0x8_X1,3,0b00010110
3input0x8_X1_DH_N,3,0b00010110
3input0x9_X1,3,0b00010111
3input0x9_X1_DH_N,3,0b00010111
3input0xA_X1,3,0b00011000
3input0xA_X1_DH_N,3,0b00011000
3input0xB_X1,3,0b00011001
3input0xB_X1_DH_N,3,0b00011001
3input0xC_X1,3,0b00011010
3input0xC_X1_DH_N,3,0b00011010
3input0xD_X1,3,0b00011011
MUX2_X1,3,0b00011011
3input0xE_X1,3,0b00011110
3input0xE_X1_DH_N,3,0b00011110
3input0xF_X1,3,0b00011111
3input0x10_X1,3,0b00101000
3input0x10_X1_DH_N,3,0b00101000
3input0x11_X1_DH_N,3,0b00101001
3input0x12_X1,3,0b00101010
3input0x13_X1,3,0b00101011
3input0x13_X1_DH_N,3,0b00101011
3input0x14_X1,3,0b00101100
3input0x15_X1_DH_P,3,0b00101101
3input0x16_X1,3,0b00101110
3input0x17_X1,3,0b00101111
3input0x18_X1,3,0b00111101
3input0x18_X1_DH_N,3,0b00111101
3input0x19_X1,3,0b00111110
3input0x19_X1_DH_N,3,0b00111110
3input0x4_X1,3,0b01000000
3input0x5_X1,3,0b01000001
3input0x5_X1_DH_N,3,0b01000001
3input0x6_X1,3,0b01010001
3input0x7_X1,3,0b01010100
3input0x1A_X1,3,0b01101000
3input0x1A_X1_DH_P,3,0b01101000
3input0x1B_X1_DH_N,3,0b01101001
3input0x1C_X1,3,0b01101010
3input0x1C_X1_DH_N,3,0b01101010
3input0x1D_X1_DH_N,3,0b01101011
3input0x1E_X1,3,0b01101110
3input0x1F_X1_DH_N,3,0b01101111
3input0x20_X1,3,0b01111110
3input0x20_X1_DH_N,3,0b01111110
OR3_X1,3,0b01111111
OR3_X2,3,0b01111111
NOR3_X1,3,0b10000000
NOR3_X2,3,0b10000000
3input0x23_X1,3,0b10000001
3input0x23_X1_DH_N,3,0b10000001
3input0x24_X1,3,0b10000010
3input0x25_X1,3,0b10000011
3input0x26_X1,3,0b10000110
3input0x26_X1_DH_N,3,0b10000110
3input0x27_X1,3,0b10000111
3input0x27_X1_DH_N,3,0b10000111
3input0x28_X1,3,0b10001001
3input0x28_X1_DH_N,3,0b10001001
3input0x29_X1,3,0b10001010
3input0x2A_X1,3,0b10001011
3input0x2B_X1,3,0b10001110
3input0x2B_X1_DH_P,3,0b10001110
3input0x2C_X1,3,0b10001111
3input0x2D_X1_DH_N,3,0b10010110
3input0x2E_X1,3,0b10010111
3input0x2E_X1_DH_N,3,0b10010111
3input0x2F_X1,3,0b10011000
3input0x2F_X1_DH_N,3,0b10011000
3input0x30_X1,3,0b10011010
3input0x30_X1_DH_N,3,0b10011010
3input0x31_X1,3,0b10011011
3input0x31_X1_DH_N,3,0b10011011
3input0x32_X1,3,0b10011110
3input0x32_X1_DH_P,3,0b10011110
3input0x33_X1,3,0b10011111
3input0x33_X1_DH_N,3,0b10011111
AOI21_X1,3,0b10101000
AOI21_X2,3,0b10101000
3input0x35_X1,3,0b10101001
3input0x35_X1_DH_P,3,0b10101001
3input0x36_X1,3,0b10101011
3input0x37_X1,3,0b10101100
3input0x37_X1_DH_P,3,0b10101100
3input0x38_X1,3,0b10101101
3input0x39_X1,3,0b10101110
