name,cell_class,canonical_key
2BDFFHQN_X1_DH,seq,
2BDFFHQN_X1_SH,seq,
2input0x1_X1,logic,0b0100
2input0x1_X2,logic,0b0010
2input0x2_X1,logic,0b0100
2input0x2_X2,logic,0b0100
2input0x6_X1,logic,0b1101
2input0x6_X2,logic,0b1101
2input0xB_X1,logic,0b1101
2input0xB_X2,logic,0b1101
3input0x0B_X2,logic,0b01010001
3input0x10_X1,logic,0b00101000
3input0x10_X1_DH_N,logic,0b00101000
3input0x11_X1_DH_N,logic,0b00101001
3input0x12_X1,logic,0b00101010
3input0x12_X2,logic,0b00101010
3input0x13_X1,logic,0b00101011
3input0x13_X1_DH_N,logic,0b00101011
3input0x14_X1,logic,0b00101100
3input0x15_X1_DH_P,logic,0b00101101
3input0x16_X1,logic,0b00101110
3input0x16_X1_DH_N,logic,0b00010110
3input0x16_X2,logic,0b00101110
3input0x17_X1,logic,0b00101111
3input0x17_X1_DH_N,logic,0b00010111
3input0x17_X2,logic,0b00010111
3input0x18_X1,logic,0b00111101
3input0x18_X1_DH_N,logic,0b00111101
3input0x19_X1,logic,0b00111110
3input0x19_X1_DH_N,logic,0b00111110
3input0x19_X2,logic,0b00011001
3input0x1A_X1,logic,0b01101000
3input0x1A_X1_DH_N,logic,0b00011010
3input0x1A_X1_DH_P,logic,0b01101000
3input0x1B_X1,logic,0b10000111
3input0x1B_X1_DH_N,logic,0b01101001
3input0x1C_X1,logic,0b01101010
3input0x1C_X1_DH_N,logic,0b01101010
3input0x1D_X1_DH_N,logic,0b01101011
3input0x1E_X1,logic,0b01101110
3input0x1E_X1_DH_N,logic,0b01101110
3input0x1F_X1,logic,0b00011111
3input0x1F_X1_DH_N,logic,0b01101111
3input0x1_X1,logic,0b00010000
3input0x1_X2,logic,0b00000010
3input0x20_X1,logic,0b01111110
3input0x20_X1_DH_N,logic,0b01111110
3input0x23_X1,logic,0b10000001
3input0x23_X1_DH_N,logic,0b10000001
3input0x24_X1,logic,0b10000010
3input0x25_X1,logic,0b10000011
3input0x26_X1,logic,0b10000110
3input0x26_X1_DH_N,logic,0b10000110
3input0x27_X1,logic,0b10000111
3input0x27_X1_DH_N,logic,0b10000111
3input0x27_X2,logic,0b10000111
3input0x28_X1,logic,0b10001001
3input0x28_X1_DH_N,logic,0b10001001
3input0x28_X2,logic,0b00101000
3input0x29_X1,logic,0b10001010
3input0x29_X1_DH_N,logic,0b00101001
3input0x29_X2,logic,0b10001010
3input0x2A_X1,logic,0b10001011
3input0x2B_X1,logic,0b10001110
3input0x2B_X1_DH_N,logic,0b00101011
3input0x2B_X1_DH_P,logic,0b10001110
3input0x2C_X1,logic,0b10001111
3input0x2C_X2,logic,0b10001111
3input0x2D_X1_DH_N,logic,0b10010110
3input0x2D_X1_DH_P,logic,0b00101101
3input0x2E_X1,logic,0b10010111
3input0x2E_X1_DH_N,logic,0b10010111
3input0x2E_X2,logic,0b00101110
3input0x2F_X1,logic,0b10011000
3input0x2F_X1_DH_N,logic,0b10011000
3input0x2F_X2,logic,0b00101111
3input0x2_X1,logic,0b00010100
3input0x2_X1_DH_N,logic,0b00010100
3input0x30_X1,logic,0b10011010
3input0x30_X1_DH_N,logic,0b10011010
3input0x31_X1,logic,0b10011011
3input0x31_X1_DH_N,logic,0b10011011
3input0x32_X1,logic,0b10011110
3input0x32_X1_DH_P,logic,0b10011110
3input0x33_X1,logic,0b10011111
3input0x33_X1_DH_N,logic,0b10011111
3input0x35_X1,logic,0b10101001
3input0x35_X1_DH_P,logic,0b10101001
3input0x36_X1,logic,0b10101011
3input0x36_X2,logic,0b10101011
3input0x37_X1,logic,0b10101100
3input0x37_X1_DH_P,logic,0b10101100
3input0x37_X2,logic,0b10101100
3input0x38_X1,logic,0b10101101
3input0x39_X1,logic,0b10101110
3input0x39_X2,logic,0b10101110
3input0x3A_X1,logic,0b10111100
3input0x3A_X1_DH_P,logic,0b10111100
3input0x3B_X1,logic,0b10111101
3input0x3B_X1_DH_N,logic,0b10111101
3input0x3C_X1,logic,0b10111110
3input0x3C_X2,logic,0b10111110
3input0x3D_X1,logic,0b10111111
3input0x3D_X1_DH_N,logic,0b00111101
3input0x3E_X1,logic,0b11101000
3input0x3E_X1_DH_N,logic,0b00111110
3input0x3E_X1_DH_P,logic,0b11101000
3input0x3E_X2,logic,0b00111110
3input0x3F_X1,logic,0b11101001
3input0x3F_X1_DH_P,logic,0b11101001
3input0x3_X1,logic,0b00010101
3input0x3_X2,logic,0b00000111
3input0x41_X1,logic,0b11101011
3input0x41_X1_DH_P,logic,0b11101011
3input0x42_X1,logic,0b11101111
3input0x42_X2,logic,0b11101111
3input0x4_X1,logic,0b01000000
3input0x4_X2,logic,0b00001000
3input0x5_X1,logic,0b01000001
3input0x5_X1_DH_N,logic,0b01000001
3input0x68_X1,logic,0b01101000
3input0x68_X1_DH_P,logic,0b01101000
3input0x69_X1_DH_N,logic,0b01101001
3input0x6A_X1,logic,0b01101010
3input0x6A_X1_DH_N,logic,0b01101010
3input0x6B_X1,logic,0b10011110
3input0x6B_X1_DH_N,logic,0b10011110
3input0x6E_X1,logic,0b01101110
3input0x6E_X2,logic,0b01101110
3input0x6F_X1,logic,0b10111110
3input0x6F_X1_DH_N,logic,0b10111110
3input0x6_X1,logic,0b01010001
3input0x6_X1_DH_N,logic,0b01010001
