target_name,target_key,base_name,base_key,status,base_count,inv_count,total,reason,elapsed_s
AND2_X1,0b0001,XOR2_X1,0b0110,IMPOSSIBLE_AFFINE,,,,base+INV is closed under affine class L (Post's lattice); target is non-affine,0.00
AND2_X1,0b0001,OR2_X1,0b0111,OK,1,3,4,,10.06
AND2_X1,0b0001,NOR2_X1,0b1000,OK,2,1,3,,10.06
AND2_X1,0b0001,XNOR2_X1,0b1001,IMPOSSIBLE_AFFINE,,,,base+INV is closed under affine class L (Post's lattice); target is non-affine,0.00
AND2_X1,0b0001,NAND2_X1,0b1110,OK,1,1,2,,0.03
XOR2_X1,0b0110,AND2_X1,0b0001,OK,3,4,7,,0.24
XOR2_X1,0b0110,OR2_X1,0b0111,OK,4,3,7,,0.30
XOR2_X1,0b0110,NOR2_X1,0b1000,OK,5,0,5,,0.07
XOR2_X1,0b0110,XNOR2_X1,0b1001,OK,1,1,2,,0.02
XOR2_X1,0b0110,NAND2_X1,0b1110,OK,4,0,4,,0.05
OR2_X1,0b0111,AND2_X1,0b0001,OK,1,3,4,,0.04
OR2_X1,0b0111,XOR2_X1,0b0110,IMPOSSIBLE_AFFINE,,,,base+INV is closed under affine class L (Post's lattice); target is non-affine,0.00
OR2_X1,0b0111,NOR2_X1,0b1000,OK,1,1,2,,0.01
OR2_X1,0b0111,XNOR2_X1,0b1001,IMPOSSIBLE_AFFINE,,,,base+INV is closed under affine class L (Post's lattice); target is non-affine,0.00
OR2_X1,0b0111,NAND2_X1,0b1110,OK,2,1,3,,0.03
NOR2_X1,0b1000,AND2_X1,0b0001,OK,1,2,3,,0.02
NOR2_X1,0b1000,XOR2_X1,0b0110,IMPOSSIBLE_AFFINE,,,,base+INV is closed under affine class L (Post's lattice); target is non-affine,0.00
NOR2_X1,0b1000,OR2_X1,0b0111,OK,1,1,2,,0.01
NOR2_X1,0b1000,XNOR2_X1,0b1001,IMPOSSIBLE_AFFINE,,,,base+INV is closed under affine class L (Post's lattice); target is non-affine,0.00
NOR2_X1,0b1000,NAND2_X1,0b1110,OK,2,2,4,,0.06
XNOR2_X1,0b1001,AND2_X1,0b0001,OK,4,3,7,,0.23
XNOR2_X1,0b1001,XOR2_X1,0b0110,OK,1,1,2,,0.01
XNOR2_X1,0b1001,OR2_X1,0b0111,OK,3,4,7,,0.29
XNOR2_X1,0b1001,NOR2_X1,0b1000,OK,4,0,4,,0.05
XNOR2_X1,0b1001,NAND2_X1,0b1110,OK,5,0,5,,0.09
NAND2_X1,0b1110,AND2_X1,0b0001,OK,1,1,2,,0.01
NAND2_X1,0b1110,XOR2_X1,0b0110,IMPOSSIBLE_AFFINE,,,,base+INV is closed under affine class L (Post's lattice); target is non-affine,0.00
NAND2_X1,0b1110,OR2_X1,0b0111,OK,1,2,3,,0.03
NAND2_X1,0b1110,NOR2_X1,0b1000,OK,2,2,4,,0.05
